id;surtitre;titre
5060;LEININGER-FREZAL C., GENEVOIE S., 2012;Green Games et éducation au développement durable. Jouer pour se construire un point de vue
5189;KIM E., BARLES S., 2012;The energy consumption of Paris and its supply areas from 18th century to present
5190;FOL S., 2012;Urban shrinkage and socio-spatial disparities: are remedies worse than the disease
5192;BILLEN G., GARNIER J., THIEU V., SILVESTRE M., BARLES S., CHATZIMPIROS P., 2012;Localising the nitrogen imprint of the Paris food supply : the potential of organic farming and changes in human diet
5193;DUCRUET C., ZAIDI F., 2012;Maritime constellations: a complex network approach to shipping and ports
5194;DOUAY N., SEVERO M., GIRAUD T., 2012;La carte du sang de l'immobilier chinois, un cas de cyber-activisme
5195;FLEURY A., MATHIAN H., SAINT-JULIEN T., 2012;Définir les centralités commerciales au coeur d'une grande métropole : le cas de Paris intra-muros
5196;MARTINEZ-FERNANDEZ C., AUDIRAC I., FOL S., CUNNINGHAM-SABOT E., 2012;Shrinking Cities : Urban Challenges of Globalization
5191;AUDIRAC I., CUNNINGHAM-SABOT E., FOL S., MORAES S., 2012;Declining Suburbs in Europe and Latin America
5197;GRATALOUP C., 2012;Prendrez-vous du tchaï ou du tè?
5198;SANDERS L., 2012;Nature et temporalité des espaces intermédiaires : réflexion à partir d'une approche modélisatrice
5199;BRAEMER F., BRAVARD J-P., BRIL B., GUIBERT P., SANDERS L., VILA-MEYER E., VIADER R., WILLCOX G., 2012;Archéologie et interdisciplinarité : qui ? pourquoi ? comment ? 
5200;NUNINGER L, BERTONCELLO, FAVORY F., FICHES J.-L., RAYNAUD C. ET COLL GIRARDOT J.-J., MATHIAN H., SANDERS L, 2012;Peuplement et territoire dans la longue durée : retour sur 20 ans d'expérience 
5201;GENEVOIE S., LEININGER-FREZAL C., 2012;Jeux pour le développement durable, ce qu'en dit la recherche
5202;PUMAIN D., 2012;Multi-agents System Modelling for Urban Systems : the Series of SIMPOP models
5203;PUMAIN D., 2012;Urban systems dynamics, urban growth and scaling laws: the question of ergodicity
5204;BARLES S., CHATZIMPIROS P., KIM E, 2012;Urban metabolism: major flows, major issues for dematerialisation. Some results from French case studies
5205;VERDIER N., 2012;Rendre présent le futur. Les enjeux des représentations planimétriques au 18e siècle
5206;BARLES S., 2012;La récupération des matières stercoraires animales et humaines pour la fertilisation des zones agricoles périphériques
5207;BARLES S., 2012;Material and energy flow analysis and the study of urban resources
5208;SCHMOLL C., SEMI G., 2012;Is national multiculturalism still the issue? Rescaling patterns of belonging in the Mediterranean
5209;BARLES S., 2012;La Seine, fleuve parisien ? Empreintes, emprises et dépendances, XVIIIe-XXe siècles
5210;CLERVAL A., FLEURY A., 2012;Concilier efficacité économique et justice sociale, une aporie ? L'exemple des politiques publiques menées à Paris depuis 2001
5211;PAULUS F., VACCHIANI-MARCUZZO C., 2012;Innovative activities and economic trajectories of cities (USA, France)
5212;ZANIN C., BEN REBAH M., 2012;Les variables visuelles de la cartographie dynamique : analyse, critique et propositions
5213;RIVIÈRE D., 2012;Politique de cohésion et  crise de la solidarité inter-régionale : l'Italie
5214;BARLES S., 2012;Nitrogen and the city, France, 19th-21th century
5216;DOUAY N., PREVOT M. (dir), 2012;<em>Activismes urbains: engagement et militantisme</em>
5217;BESSE J.-M. (dir), 2012;<em>La montagne</em>
5218;RIVIÈRE D., 2012;<em>L'Europe</em>
5219;VACCHIANI-MARCUZZO C., 2012;La mondialisation: processus, acteurs et territoires
5220;RIVIÈRE D., 2012;L'Italie
5221;BESSE J.-M., 2012;<em>Le voyage, le témoignage, l'amitié : Abraham Ortelius et Georg Hoefnagel en Italie (hiver 1577-1578)</em>
5222;GRASLAND C., 2012;<em>ESPON DATABASE 2013 - FINAL REPORT</em>
5244;BANOS A, GENRE-GRANDPIERRE C., 2012;Towards New Metrics for Urban Road Networks. Some Preliminary Evidence from Agent-Based Simulations
