id;titre;auteurs;year;typepubli;equipe;thematic;axe
5060;Green Games et éducation au développement durable. Jouer pour se construire un point de vue;LEININGER-FREZALC,GENEVOIES;2012;actes_congres_national;EHGO;;
5189;The energy consumption of Paris and its supply areas from 18th century to present;KIME,BARLESS;2012;article_revue;CRIA;;4_reseau_territoires
5190;Urban shrinkage and socio-spatial disparities: are remedies worse than the disease;FOLS;2012;article_revue;CRIA;;1_recompo_territoire_metro,4_reseau_territoires
5192;Localising the nitrogen imprint of the Paris food supply : the potential of organic farming and changes in human diet;BILLENG,GARNIERJ,THIEUV,SILVESTREM,BARLESS,CHATZIMPIROSP;2012;article_revue;CRIA;;4_reseau_territoires
5193;Maritime constellations: a complex network approach to shipping and ports;DUCRUETC,ZAIDIF;2012;article_revue;PARIS;1_europe_mondialisation;2_dynamique_reseau
5194;La carte du sang de l'immobilier chinois, un cas de cyber-activisme;DOUAYN,SEVEROM,GIRAUDT;2012;article_revue;CRIA;1_europe_mondialisation;4_reseau_territoires
5195;Définir les centralités commerciales au coeur d'une grande métropole : le cas de Paris intra-muros;FLEURYA,MATHIANH,SAINT-JULIENT;2012;article_revue;PARIS;;1_recompo_territoire_metro,3_nouvelle_modelisation
5196;Shrinking Cities : Urban Challenges of Globalization;MARTINEZ-FERNANDEZC,AUDIRACI,FOLS,CUNNINGHAM-SABOTE;2012;article_revue;CRIA;;1_recompo_territoire_metro,4_reseau_territoires
5191;Declining Suburbs in Europe and Latin America;AUDIRACI,CUNNINGHAM-SABOTE,FOLS,MORAESS;2012;article_revue;CRIA;1_europe_mondialisation;4_reseau_territoires
5197;Prendrez-vous du tchaï ou du tè?;GRATALOUPC;2012;article;EHGO;;6_geo_pratiques
5198;Nature et temporalité des espaces intermédiaires : réflexion à partir d'une approche modélisatrice;SANDERSL;2012;chapitre;PARIS;;3_nouvelle_modelisation
5199;Archéologie et interdisciplinarité : qui ? pourquoi ? comment ? ;BRAEMERF,BRAVARDJ-P,BRILB,GUIBERTP,SANDERSL,VILA-MEYERE,VIADERR,WILLCOXG;2012;chapitre;PARIS;;3_nouvelle_modelisation
5200;Peuplement et territoire dans la longue durée : retour sur 20 ans d'expérience ;NUNINGERL,BERTONCELLO,FAVORYF,FICHESJ-L,RAYNAUDCETCOLLGIRARDOTJ-J,MATHIANH,SANDERSL;2012;chapitre;PARIS;;3_nouvelle_modelisation
5201;Jeux pour le développement durable, ce qu'en dit la recherche;GENEVOIES,LEININGER-FREZALC;2012;chapitre;EHGO;;6_geo_pratiques
5202;Multi-agents System Modelling for Urban Systems : the Series of SIMPOP models;PUMAIND;2012;chapitre;PARIS;;3_nouvelle_modelisation
5203;Urban systems dynamics, urban growth and scaling laws: the question of ergodicity;PUMAIND;2012;chapitre;PARIS;;3_nouvelle_modelisation
5204;Urban metabolism: major flows, major issues for dematerialisation. Some results from French case studies;BARLESS,CHATZIMPIROSP,KIME;2012;communication;CRIA;;
5205;Rendre présent le futur. Les enjeux des représentations planimétriques au 18e siècle;VERDIERN;2012;communication;EHGO;;
5206;La récupération des matières stercoraires animales et humaines pour la fertilisation des zones agricoles périphériques;BARLESS;2012;communication;CRIA;;4_reseau_territoires
5207;Material and energy flow analysis and the study of urban resources;BARLESS;2012;communication;CRIA;;4_reseau_territoires
