id_article;AutEur1;AutEur2;AutEur3;AutEur4;AutEur5;AutEur6;AutEur7;AutEur8;AutEur9;AutEur10;AutEur11;AutEur12;AutEur13;AutEur14
6251;PUMAIN D.;;;;;;;;;;;;;
6252;GUEROIS M.;BRETAGNOLLE A.;GIRAUD T.;MATHIAN H.;;;;;;;;;;
6253;CARY P.;FOL S.;;;;;;;;;;;;
6254;RIVIERE D.;;;;;;;;;;;;;
6255;DREVELLE M.;;;;;;;;;;;;;
6257;VALLEE J.;;;;;;;;;;;;;
6258;COHEN M.;BAUDOIN R.;PALIBRK M.;PERSYN N.;RHEIN C.;;;;;;;;;
6259;COTTINEAU C.;;;;;;;;;;;;;
6260;FLEURY A.;HOUSSAY-HOLZSCHUH M.;;;;;;;;;;;;
6261;FLEURY A.;TONNELAT S.;;;;;;;;;;;;
6262;FLEURY A.;FRANÇOIS J.-C.;MATHIAN H.;RIBARDIERE A.;SAINT-JULIEN T.;;;;;;;;;
6263;DOUAY N.;;;;;;;;;;;;;
6264;DESJARDINS X.;DOUAY N.;GAGNIERE V.;;;;;;;;;;;
6265;DOUAY N.;;;;;;;;;;;;;
6266;MATHIAN H.;SANDERS L.;;;;;;;;;;;;
6267;SANDERS L.;;;;;;;;;;;;;
6268;FAVORY F.;NUNINGER L. SANDERS L.;;;;;;;;;;;;
6269;DUCRUET C.;;;;;;;;;;;;;
6270;DUPUY G.;;;;;;;;;;;;;
6271;FLEURY A.;;;;;;;;;;;;;
6272;FLEURY A.;;;;;;;;;;;;;
6273;RIVIERE D.;;;;;;;;;;;;;
6274;RIVIERE D.;;;;;;;;;;;;;
6275;THOIN M.;RIVIERE D.;;;;;;;;;;;;
6276;DESJARDINS X.;PERSYN N.;;;;;;;;;;;;
6277;TROUDE A.;;;;;;;;;;;;;
6278;TROUDE A.;;;;;;;;;;;;;
6279;FLEURY A.;;;;;;;;;;;;;
6280;VERDIER N.;;;;;;;;;;;;;
6281;VERDIER N.;;;;;;;;;;;;;
6282;SEVERO M.;GIRAUD T.;DOUAY N.;;;;;;;;;;;
6283;SEVERO M.;GIRAUD T.;DOUAY N.;;;;;;;;;;;
6284;BARLES S.;;;;;;;;;;;;;
6285;BARLES S.;;;;;;;;;;;;;
6286;BARLES S.;;;;;;;;;;;;;
6287;BARLES S.;;;;;;;;;;;;;
6288;BARLES S.;;;;;;;;;;;;;
6289;BARLES S.;;;;;;;;;;;;;
6290;PUMAIN D.;;;;;;;;;;;;;
6291;PUMAIN D.;;;;;;;;;;;;;
6292;PUMAIN D.;;;;;;;;;;;;;
6293;ROSEMBERG M.;;;;;;;;;;;;;
6294;DUCRUET C.;CARVALHO L.;ROUSSIN S.;;;;;;;;;;;
6295;MENDIBIL D.;;;;;;;;;;;;;
6296;PUMAIN D.;;;;;;;;;;;;;
6297;DUPUY G.;;;;;;;;;;;;;
6298;DUPUY G.;;;;;;;;;;;;;
6299;ROBIC M.-C.;;;;;;;;;;;;;
6300;ROBIC M.-C.;;;;;;;;;;;;;
6301;CLERVAL A.;FLEURY A.;;;;;;;;;;;;
6302;DOUAY N.;;;;;;;;;;;;;
6303;BARON M.;;;;;;;;;;;;;
6304;TROUDE A.;;;;;;;;;;;;;
6305;TROUDE A.;;;;;;;;;;;;;
6306;TROUDE A.;;;;;;;;;;;;;
6307;BARLES S.;COUTARD O.;GUILLERME A.;;;;;;;;;;;
6308;REUILLON R.;REY S.;SCHMITT C.;LECLAIRE M.;PUMAIN D.;;;;;;;;;
6309;RAAD L.;;;;;;;;;;;;;
6310;MANTRAN M.;ANGEON V.;BONIN M.;DIMAN J.-L.;FANCHONE A.;;;;;;;;;
6311;COMMENGES H.;;;;;;;;;;;;;
6312;COMMENGES H.;;;;;;;;;;;;;
6313;NG A.K.Y.;DUCRUET C.;;;;;;;;;;;;
6314;DUCRUET C.;;;;;;;;;;;;;
6315;DUCRUET C.;ITOH H.;JOLY O.;;;;;;;;;;;
6316;DUCRUET C.;MERK O.;;;;;;;;;;;;
6317;DUCRUET C.;MERK O.;;;;;;;;;;;;
6318;BEAUGUITTE L.;DUCRUET C.;;;;;;;;;;;;
6319;BRETAGNOLLE A.;GUEROIS M.;LE NECHET F.;MATHIAN H.;PAVARD A.;;;;;;;;;
6320;DUPUY G.;;;;;;;;;;;;;
6321;DUPUY G.;;;;;;;;;;;;;
6322;DUPUY G.;;;;;;;;;;;;;
6323;DUPUY G.;;;;;;;;;;;;;
6324;DUPUY G.;;;;;;;;;;;;;
6325;PERSYN N.;;;;;;;;;;;;;
6326;PERSYN N.;;;;;;;;;;;;;
6327;MANGENEY C.;LUCAS-GABRIELLI V.;VALLEE J.;;;;;;;;;;;
6328;VALLEE J.;;;;;;;;;;;;;
6329;ASCHAN-LEYGONIE C.;BAUDET-MICHEL S.;BERROIR S.;MATHIAN H.;VALLEE J.;;;;;;;;;
6330;LAPOSTOLLE A.;VALLEE J.;MASSARI V.;CHAUVIN P.;;;;;;;;;;
6331;VALLEE J.;KESTENS Y.;;;;;;;;;;;;
6332;MANCEAU E.;JOUANLANNE TH.;;;;;;;;;;;;
6333;MANCEAU E.;;;;;;;;;;;;;
6334;VILA-VÁZQUEZ J.-I.;;;;;;;;;;;;;
6335;PEREZ-INDAVEREA M.-A.;VILA-VÁZQUEZ J.-I.;;;;;;;;;;;;
6336;RHEIN C.;;;;;;;;;;;;;
6337;COTTINEAU C.;;;;;;;;;;;;;
6338;FROUILLOU L.;;;;;;;;;;;;;
6339;FROUILLOU L.;;;;;;;;;;;;;
6340;FROUILLOU L.;;;;;;;;;;;;;
6341;BRETAGNOLLE A.;GIRAUD T.;MATHIAN H.;;;;;;;;;;;
6342;BRETAGNOLLE A.;MATHIAN H.;VAN HAMME A.;;;;;;;;;;;
6343;BERROIR S.;FLEURY A.;GUEROIS M.;;;;;;;;;;;
6344;DELAGE M.;FLEURY A.;;;;;;;;;;;;
6345;FLEURY A.;FROMENT-MEURICE M.;;;;;;;;;;;;
6346;ROSEMBERG M.;;;;;;;;;;;;;
6347;VILA-VÁZQUEZ J.-I.;;;;;;;;;;;;;
6348;ROSEMBERG M.;;;;;;;;;;;;;
6349;DREVELLE M.;;;;;;;;;;;;;
6350;BEZIAT A.;DREVELLE M.;DESJARDINS X.;HEITZ A.;GOLDBERG J.;LAROSE F.;;;;;;;;
6351;BRETAGNOLLE A.;PUMAIN D.;GLISSE B.;VACCHIANI-MARCUZZO C.;;;;;;;;;;
6352;BARLES S.;;;;;;;;;;;;;
6353;BARLES S.;;;;;;;;;;;;;
6354;BARLES S.;;;;;;;;;;;;;
6355;BARLES S.;;;;;;;;;;;;;
6356;DUCRUET C.;ITOH H.;JOLY O.;;;;;;;;;;;
6357;DUCRUET C.;;;;;;;;;;;;;
6358;DUCRUET C.;;;;;;;;;;;;;
6359;DUCRUET C.;;;;;;;;;;;;;
6360;BRETAGNOLLE A.;GUEROIS M.;LE NECHET F.;MATHIAN H.;PAVARD A.;;;;;;;;;
6362;VERDIER N.;;;;;;;;;;;;;
6363;VERDIER N.;;;;;;;;;;;;;
6364;VERDIER N.;;;;;;;;;;;;;
6365;VERDIER N.;;;;;;;;;;;;;
6366;VERDIER N.;;;;;;;;;;;;;
6367;VERDIER N.;;;;;;;;;;;;;
6368;VERDIER N.;OZOUF-MARIGNIER M.-V.;;;;;;;;;;;;
6369;BILLEN G.;GARNIER J.;BARLES S.;;;;;;;;;;;
6370;RIVIERE D.;;;;;;;;;;;;;
6371;MANTRAN M.;;;;;;;;;;;;;
6372;LE BOZEC A.;BARLES S.;BUCLET N.;KECK G.;;;;;;;;;;
6373;TROUDE A.;;;;;;;;;;;;;
6374;PREVOT M.;DOUAY N.;;;;;;;;;;;;
6375;RONDET C.;ROUSTIT C.;PARIZOT I.;VALLEE J.;CHAUVIN P.;;;;;;;;;
6376;TROUDE A.;;;;;;;;;;;;;
6377;TROUDE A.;;;;;;;;;;;;;
6378;BRETAGNOLLE A.;;;;;;;;;;;;;
6379;BRETAGNOLLE A.;;;;;;;;;;;;;
6380;BRETAGNOLLE A.;;;;;;;;;;;;;
6381;BRETAGNOLLE A.;GIRAUD T.;VERDIER N.;;;;;;;;;;;
6382;TROUDE A.;;;;;;;;;;;;;
6383;BOGNON S.;BARLES S.;;;;;;;;;;;;
6384;GIRAULT J.A.;BOURGUIGNON J.P.;DE MARSILY G.;ENCRENAZ T.;JOUSSAUME S. PUMAIN D.;;;;;;;;;
6385;DUCRUET C.;JOLY O.;LE CAM M.;;;;;;;;;;;
6388;AVILA DE SOUSA A;COTTINEAU C.;DIETERSDORFER L;FERNANDEZ AGUEDA B;GONUL D;HOEMKE M;JAROSZEWSKA E;LELLA I;MYKHNENKO V.;PRADA TRIGO J;SCHMITZ S;VOLKMANN A;WIECHMANN T;
6389;BRETAGNOLLE A.;GUEROIS M.;MATHIAN H.;GIRAUD T.;AVERLAN G.;;;;;;;;;
6392;ROSEMBERG M.;;;;;;;;;;;;;
6393;VERDIER N.;;;;;;;;;;;;;
6513;GRIVAUD A.;BUHNIK S.;;;;;;;;;;;;
6514;VILA-VÁZQUEZ J.-I.;;;;;;;;;;;;;
6515;BUHNIK S.;;;;;;;;;;;;;
6516;BUHNIK S.;;;;;;;;;;;;;
6517;BUHNIK S.;;;;;;;;;;;;;
6518;BARON M.;;;;;;;;;;;;;
6519;VALLEE J.;CHAUVIN P.;;;;;;;;;;;;
6520;QUEVA C.;;;;;;;;;;;;;
6521;MIRAMONTES-CARBALLADA A.;ROYE D.;VILA-VÁZQUEZ J.-I.;;;;;;;;;;;
6522;DESJARDINS X.;METTETAL L.;;;;;;;;;;;;
6523;GIRAUT F.;VACCHIANI-MARCUZZO C.;;;;;;;;;;;;
6524;BERROIR S.;CATTAN N.;GUEROIS M.;PAULUS F.;VACCHIANI-MARCUZZO C.;;;;;;;;;
6525;BARON M.;;;;;;;;;;;;;
6526;BOULIER J.;;;;;;;;;;;;;
6527;BRUN G.;;;;;;;;;;;;;
6528;BRUN G.;;;;;;;;;;;;;
6529;MAULAT J.;;;;;;;;;;;;;
6530;ZANIN C.;LAMBERT N.;;;;;;;;;;;;
6531;BARLES S.;GUILLERME A.;;;;;;;;;;;;
6532;MAULAT J.;;;;;;;;;;;;;
6533;DREVELLE M.;;;;;;;;;;;;;
6534;DESJARDINS X.;CHALONGE L.;;;;;;;;;;;;
6535;BARLES S.;;;;;;;;;;;;;
6536;QUEVA C.;;;;;;;;;;;;;
6537;RAAD L.;;;;;;;;;;;;;
6538;QUEVA C.;;;;;;;;;;;;;
6539;OLMEDO E.;;;;;;;;;;;;;
6540;OLMEDO E.;;;;;;;;;;;;;
6541;OLMEDO E.;;;;;;;;;;;;;
6542;SCHMOLL C.;CAPONIO T.;;;;;;;;;;;;
6543;SCHMOLL C.;BERNARDIE-TAHIR N.;;;;;;;;;;;;
6544;SCHMOLL C.;;;;;;;;;;;;;
6545;SCHMOLL C.;DIRENBERGER L.;;;;;;;;;;;;
6546;SCHMOLL C.;;;;;;;;;;;;;
6547;SCHMOLL C.;;;;;;;;;;;;;
6548;FOL S.;;;;;;;;;;;;;
6549;LE BIGOT B.;FLEURY A.;;;;;;;;;;;;
6550;LE BIGOT B.;FLEURY A.;;;;;;;;;;;;
6551;QUEVA C.;;;;;;;;;;;;;
6552;FOURNET-GUERIN C.;VACCHIANI-MARCUZZO C.;;;;;;;;;;;;
6553;FOL S.;LEHMAN-FRISCH S.;MORANGE M.;;;;;;;;;;;
6554;BERROIR S.;CATTAN N.;DECROLY J.-M.;FLEURY A.;GUEROIS M.;;;;;;;;;
6555;FLEURY A.;;;;;;;;;;;;;
6556;LE BIGOT B.;;;;;;;;;;;;;
6557;FOL S.;;;;;;;;;;;;;
6558;LE BIGOT B.;;;;;;;;;;;;;
6559;LE BIGOT B.;;;;;;;;;;;;;
6560;FOL S.;LEHMAN-FRISCH S.;MORANGE M.;;;;;;;;;;;
6561;BRETAGNOLLE A.;;;;;;;;;;;;;
6562;BRETAGNOLLE A.;;;;;;;;;;;;;
6563;BRETAGNOLLE A.;;;;;;;;;;;;;
6564;CHAIX B.;MELINE J.;DUNCAN S.;JARDINIER L.;PERCHOUX C.;VALLEE J.;MERRIEN C.;KARUSISI N.;LEWIN A.;BRONDEEL R.;KESTENS Y.;;;
6565;CHAUVIN P.;PARIZOT I.;VALLEE J.;;;;;;;;;;;
6566;VALLEE J.;;;;;;;;;;;;;
6567;SZOKE A.;LLORCA P.M.;GALLIOT A.M.;VILAIN J.;VALLEE J.;LEBOYER M.;SCHURHOFF F.;;;;;;;
6568;LAPOSTOLLE A.;VALLEE J.;MASSARI V.;CHAUVIN P.;;;;;;;;;;
6569;VALLEE J.;;;;;;;;;;;;;
6570;VALLEE J.;SHARECK M.;KESTENS Y.;FROHLICH K.;;;;;;;;;;
6571;VALLEE J.;LE ROUX G.;KESTENS Y.;CHAIX B.;CHAUVIN P.;;;;;;;;;
6572;VALLEE J.;SHARECK M.;KESTENS Y.;FROHLICH K.;;;;;;;;;;
6573;VALLEE J.;;;;;;;;;;;;;
6574;VALLEE J.;;;;;;;;;;;;;
6575;DESJARDINS X.;FLEURY A.;;;;;;;;;;;;
6576;SWERTS E.;PUMAIN D.;;;;;;;;;;;;
6577;DUCRUET C.;LUGO I.;;;;;;;;;;;;
6578;ASCHAN-LEYGONIE C.;BAUDET-MICHEL S.;MATHIAN H.;SANDERS L.;;;;;;;;;;
6579;ASCHAN-LEYGONIE C.;BAUDET-MICHEL S.;MATHIAN H.;SANDERS L.;;;;;;;;;;
6580;DUCRUET C.;;;;;;;;;;;;;
6581;WANG C.;DUCRUET C.;;;;;;;;;;;;
6582;DUCRUET C.;MERK O.;;;;;;;;;;;;
6583;DUCRUET C.;;;;;;;;;;;;;
6584;DUCRUET C.;;;;;;;;;;;;;
6585;DUCRUET C.;;;;;;;;;;;;;
6586;DUCRUET C.;;;;;;;;;;;;;
6587;DUCRUET C.;LUGO I.;;;;;;;;;;;;
6588;DUCRUET C.;;;;;;;;;;;;;
6589;DUCRUET C.;MARNOT B.;;;;;;;;;;;;
6590;DUCRUET C.;;;;;;;;;;;;;
6591;DUCRUET C.;;;;;;;;;;;;;
6592;PAULUS F.;VACCHIANI-MARCUZZO C.;;;;;;;;;;;;
6593;PAULUS F.;VACCHIANI-MARCUZZO C.;;;;;;;;;;;;
6594;MAREI N.;DUCRUET C.;;;;;;;;;;;;
6595;DUCRUET C.;ITOH H.;JOLY O.;;;;;;;;;;;
6596;DUCRUET C.;;;;;;;;;;;;;
6597;DUCRUET C.;;;;;;;;;;;;;
6598;DUCRUET C.;;;;;;;;;;;;;
6599;BRETAGNOLLE A.;DELISLE F.;LIZZI L.;MATHIAN H.;PAVARD A.;VAN HAMME A.;;;;;;;;
6600;DUCRUET C.;;;;;;;;;;;;;
6601;ZANIN C.;LAMBERT N.;;;;;;;;;;;;
6602;ZANIN C.;LAMBERT N.;;;;;;;;;;;;
6603;ZANIN C.;LAMBERT N.;;;;;;;;;;;;
6604;ECKERT D.;BARON M.;JEGOU L.;;;;;;;;;;;
6605;BARON M.;ECKERT D.;JEGOU L.;MAISONOBE M.;;;;;;;;;;
6606;SWERTS E.;PUMAIN D.;DENIS E.;;;;;;;;;;;
6608;BANOS A.;SANDERS L.;;;;;;;;;;;;
6609;BRUN G.;DOMINGUES C.;;;;;;;;;;;;
6610;BRUN G.;DOMINGUES C.;;;;;;;;;;;;
6611;ELISSALDE B.;SANTAMARIA F.;JEANNE P.;;;;;;;;;;;
6612;CHATZIMPIROS P.;BARLES S.;;;;;;;;;;;;
6613;BARLES S.;;;;;;;;;;;;;
6614;BARLES S.;;;;;;;;;;;;;
6615;BARLES S.;;;;;;;;;;;;;
6616;MAULAT J.;PERSYN N.;;;;;;;;;;;;
6617;COUTARD O.;BARLES S.;LEVY J. P.;BLANC N.;;;;;;;;;;
6618;BROSSET T.;MAULAT J.;;;;;;;;;;;;
6619;ZANIN C.;;;;;;;;;;;;;
6620;BARLES S.;;;;;;;;;;;;;
6621;BARLES S.;;;;;;;;;;;;;
6622;BARLES S.;;;;;;;;;;;;;
6623;PETSIMERIS P.;VILA-VÁZQUEZ J.-I.;CAPUTO M.-L.;;;;;;;;;;;
6624;BARLES S.;;;;;;;;;;;;;
6625;GEORGEAULT L.;JUNQUA G.;ADOUE C.;BARLES S.;GABARRELL X.;BORDIN P.;;;;;;;;
6626;ELISSALDE B.;SANTAMARIA F.;JEANNE P.;;;;;;;;;;;
6627;BARLES S.;;;;;;;;;;;;;
6628;MAULAT J.;;;;;;;;;;;;;
6629;ELISSALDE B.;SANTAMARIA F.;;;;;;;;;;;;
6630;BARLES S.;;;;;;;;;;;;;
6631;BARLES S.;;;;;;;;;;;;;
6632;BARLES S.;;;;;;;;;;;;;
6633;BARLES S.;;;;;;;;;;;;;
6634;BARLES S.;WINANT S.;ROTILLON S.;;;;;;;;;;;
6635;ZANIN C.;;;;;;;;;;;;;
6636;QUEVA C.;;;;;;;;;;;;;
6637;BEAUCIRE F.;DREVELLE M.;;;;;;;;;;;;
6638;DOUAY N.;;;;;;;;;;;;;
6639;DEBRIE J.;;;;;;;;;;;;;
6640;DEBRIE J.;LAVAUD-LETILLEUL.V;PAROLA F.;;;;;;;;;;;
6641;WOLF M.;FOL S.;ROTH H.;CUNNINGHAM-SABOT E.;;;;;;;;;;
6642;CORBEL A.;BUHNIK S.;;;;;;;;;;;;
6643;DOUAY N.;;;;;;;;;;;;;
6644;BARON M.;COMMENGES H.;PRUNIER D.;RAAD L.;;;;;;;;;;
6645;BARLES S.;;;;;;;;;;;;;
6646;DOUAY N.;;;;;;;;;;;;;
6647;DESJARDINS X.;;;;;;;;;;;;;
6648;ALBECKER M.-F.;FOL S.;;;;;;;;;;;;
6649;CUNNINGHAM-SABOT E.;AUDIRAC I.;FOL S.;MARTINEZ-FERNANDEZ C.;;;;;;;;;;
6650;DREVELLE M.;;;;;;;;;;;;;
6651;DESJARDINS X.;DREVELLE M.;;;;;;;;;;;;
6652;BEYER A.;DEBRIE J.;;;;;;;;;;;;
6653;OLMEDO E.;;;;;;;;;;;;;
6654;LEININGER-FREZAL C.;;;;;;;;;;;;;
6655;PIGAKI M.;LEININGER-FREZAL C.;;;;;;;;;;;;
6656;GENEVOIE S.;LEININGER-FREZAL C.;;;;;;;;;;;;
6657;ECKERT D.;BARON M.;;;;;;;;;;;;
6658;LE NECHET F.;BRETAGNOLLE A.;GUEROIS M.;PAVARD A.;;;;;;;;;;
6659;SCHMOLL C.;SEMI G.;;;;;;;;;;;;
6660;SCHMOLL C.;;;;;;;;;;;;;
6661;BARON M.;COMMENGES H.;PRUNIER D.;RAAD L.;;;;;;;;;;
6662;SCHMOLL C.;;;;;;;;;;;;;
6663;SCHMOLL C.;AKOKA K.;BERNARDIE-TAHIR N.;CLOCHARD O.;;;;;;;;;;
6664;SCHMOLL C.;;;;;;;;;;;;;
6665;FOL S.;;;;;;;;;;;;;
6666;BENNASR A.;BARON M.;RUFFRAY (dE) S.;GRASLAND C.;GERIN-PACE F.;;;;;;;;;
6667;SCHMOLL C.;DUBUCS H.;PFIRSCH T.;;;;;;;;;;;
6668;FOL S.;GALLEZ C.;;;;;;;;;;;;
6669;SCHMOLL C.;DUBUCS H.;PFIRSCH T.;;;;;;;;;;;
6670;SCHMOLL C.;AMATO F.;;;;;;;;;;;;
6671;SCHMOLL C.;;;;;;;;;;;;;
6672;SCHMOLL C.;;;;;;;;;;;;;
6673;SCHMOLL C.;BERNARDIE-TAHIR N.;;;;;;;;;;;;
6674;SCHMOLL C.;;;;;;;;;;;;;
6675;VALLEE J.;SHARECK M.;;;;;;;;;;;;
6676;NG A.K.Y.;DUCRUET C.;;;;;;;;;;;;
6677;OLMEDO E.;ROUX J.-M.;;;;;;;;;;;;
6678;BUHNIK S.;;;;;;;;;;;;;
6679;BUHNIK S.;;;;;;;;;;;;;
6680;FLEURY A.;RADICE M.;;;;;;;;;;;;
6681;CHABROL M.;FLEURY A.;VAN CRIEKINGEN M.;;;;;;;;;;;
6682;FLEURY A.;;;;;;;;;;;;;
6683;BUHNIK S.;;;;;;;;;;;;;
6684;FLEURY A.;KARAMAN H.;;;;;;;;;;;;
6685;BERROIR S.;FLEURY A.;FOL S.;GUEROIS M.;VALLEE J.;VIANA E.;;;;;;;;
6686;FLEURY A.;;;;;;;;;;;;;
6687;VALLEE J.;LE ROUX G.;CHAIX B.;KESTENS Y.;CHAUVIN P.;;;;;;;;;
6688;CHAIX B.;SIMON C.;CHARREIRE H.;THOMAS F.;KESTENS Y.;KARUSISI N.;VALLEE J.;OPPERT J.M.;WEBER C.;PANNIER B.;;;;
6689;DESJARDINS X.;;;;;;;;;;;;;
6690;BARON M.;FROUILLOU L.;;;;;;;;;;;;
6691;DUCRUET C.;ITOH H.;JOLY O.;;;;;;;;;;;
6692;DUCRUET C.;BEAUGUITTE L.;;;;;;;;;;;;
6693;DUCRUET C.;JOLY O.;LE CAM M.;;;;;;;;;;;
6694;MUSIL C.;NINOT O.;BAFFI S.;DREVELLE M.;;;;;;;;;;
6695;MOHAMED-CHERIF F.Z.;DUCRUET C.;;;;;;;;;;;;
6696;DUCRUET C.;;;;;;;;;;;;;
6697;JACOBS W.;DUCRUET C.;;;;;;;;;;;;
6698;VACCHIANI-MARCUZZO C.;PAULUS F.;;;;;;;;;;;;
6699;DUCRUET C.;;;;;;;;;;;;;
6700;GIRAUT F.;VACCHIANI-MARCUZZO C.;;;;;;;;;;;;
6701;SWERTS E.;VACCHIANI-MARCUZZO C.;PAULUS F.;;;;;;;;;;;
6702;MAREI N.;DUCRUET C.;;;;;;;;;;;;
6703;BARON M.;BARRERA C.;BIRCK F.;;;;;;;;;;;
6704;TROUDE A.;;;;;;;;;;;;;
6705;SANTAMARIA F.;ELISSALDE B.;FEREDJ A.;;;;;;;;;;;
6706;ZANIN C.;;;;;;;;;;;;;
6707;ELISSALDE B.;SANTAMARIA F.;;;;;;;;;;;;
6708;CUNNINGHAM-SABOT E.;FOL S.;ROTH H.;;;;;;;;;;;
6709;DESJARDINS X.;MAULAT J.;SYKES O.;;;;;;;;;;;
