id_article;surtitre;titre;soustitre;id_rubrique;descriptif;chapo;texte;ps;date;statut;id_secteur;maj;export;date_redac;visites;referers;popularite;accepter_forum;date_modif;lang;langue_choisie;id_trad;extra;id_version;nom_site;url_site;virtuel
5060;LEININGER-FREZAL C., GENEVOIE S., 2012;"""Green Games et éducation au développement durable. Jouer pour se construire un point de vue""";in : Leininger-Frezal C., Ogier A. et Genevoie S. (dir), <em>A quoi servent les apprentissages en histoire, géographie et éducation à la citoyenneté ?</em>, <em>Colloque international de didactique de l'histoire, de la géographie et de l'éducation à la citoyenneté</em>, Lyon, Inrp, 17-18 mars 2011, Publication des actes en cours.;128;;;;;18/01/2012 20:57;publie;3;13/04/2012 14:04;oui;0000-00-00 00:00:00;109;0;0.9151448812953535;non;13/04/2012 16:04;fr;oui;0;;0;;;
5189;KIM E., BARLES S., 2012;"""The energy consumption of Paris and its supply areas from 18th century to present""";<em>Regional Environmental Change</em>, vol.12, January.;128;;;;;14/03/2012 16:10;publie;3;14/03/2012 15:10;oui;0000-00-00 00:00:00;122;0;0.9125841116889573;non;14/03/2012 16:10;fr;non;0;NULL;0;En ligne;http://www.springerlink.com/content/103880/?Content+Status=Accepted;
5190;FOL S., 2012;"""Urban shrinkage and socio-spatial disparities: are remedies worse than the disease""";<em>Built Environment</em>, vol.38, n°2, 259-275.;128;;;;;14/03/2012 16:28;publie;3;15/05/2012 08:23;oui;0000-00-00 00:00:00;185;0;0.9467279179164705;non;15/05/2012 10:23;fr;non;0;NULL;0;;;
5192;BILLEN G., GARNIER J., THIEU, V., SILVESTRE M., BARLES S., CHATZIMPIROS P., 2012;"""Localising the nitrogen imprint of the Paris food supply : the potential of organic farming and changes in human diet""";<em>Biogeosciences</em>, n°9, 607-616.;128;;;;;14/03/2012 16:34;publie;3;11/04/2012 09:35;oui;0000-00-00 00:00:00;138;0;0.9151523600926638;non;11/04/2012 11:35;fr;non;0;NULL;0;En ligne;http://www.biogeosciences.net/9/607/2012/bg-9-607-2012.html;
5193;DUCRUET C., ZAIDI F., 2012;"""Maritime constellations: a complex network approach to shipping and ports""";<em>Maritime Policy and Management</em>, vol.39, n°2, 159-168.;128;;;;;14/03/2012 16:36;publie;3;14/03/2012 15:36;oui;0000-00-00 00:00:00;105;0;0.9151302405979094;non;14/03/2012 16:36;fr;non;0;NULL;0;;;
5194;DOUAY N., SEVERO M., GIRAUD T., 2012;"""La carte du sang de l'immobilier chinois, un cas de cyber-activisme""";<em>L'information géographique</em>, vol. 76, n?1, 74-88.;128;;;;;14/03/2012 16:37;publie;3;11/04/2012 09:34;oui;0000-00-00 00:00:00;115;0;0.9467255911900568;non;11/04/2012 11:34;fr;non;0;NULL;0;;;
5195;FLEURY A., MATHIAN H., SAINT-JULIEN T., 2012;"""Définir les centralités commerciales au coeur d'une grande métropole : le cas de Paris intra-muros""";<em>Cybergeo : European Journal of Geography</em>, n°588.;128;;;;;14/03/2012 16:40;publie;3;14/03/2012 15:40;oui;0000-00-00 00:00:00;129;0;0.9115316076534096;non;14/03/2012 16:39;fr;non;0;NULL;0;En ligne;http://cybergeo.revues.org/25107;
5196;MARTINEZ-FERNANDEZ C., AUDIRAC I., FOL S., CUNNINGHAM-SABOT E., 2012;"""Shrinking Cities : Urban Challenges of Globalization""";<em>International Journal of Urban and Regional Research</em>, vol.36, n°2, 213-225, DOI: 10.1111/j.1468-2427.2011.01092.x.;128;;;;;14/03/2012 16:44;publie;3;15/03/2012 09:52;oui;0000-00-00 00:00:00;124;0;0.9151361605180156;non;15/03/2012 10:52;fr;non;0;NULL;0;;;
5191;AUDIRAC I., CUNNINGHAM-SABOT E., FOL S., MORAES S., 2012;"""Declining Suburbs in Europe and Latin America""";<em>International Journal of Urban and Regional Research</em>, vol.36, n°2, 226-244, DOI: 10.1111/j.1468-2427.2011.01092.x.;128;;;;;14/03/2012 16:53;publie;3;11/04/2012 09:35;oui;0000-00-00 00:00:00;109;0;0.9151481412094705;non;11/04/2012 11:35;fr;non;0;NULL;0;;;
5197;GRATALOUP C., 2012;"""Prendrez-vous du tchaï ou du tè?""";<em>La Géographie</em>, n°1543, 64-65.;128;;;;;15/03/2012 09:36;publie;3;15/03/2012 08:36;oui;0000-00-00 00:00:00;92;0;0.9568620012801529;non;15/03/2012 09:35;fr;non;0;NULL;0;;;
5198;SANDERS L., 2012;"""Nature et temporalité des espaces intermédiaires : réflexion à partir d'une approche modélisatrice""";in : Boulineau E.,Coudroy de Lille L.(dir), <em>Penser les espaces intermédiaires en Europe</em>, Editions de l'ENS de Lyon;128;;;;;15/03/2012 09:46;publie;3;15/03/2012 08:46;oui;0000-00-00 00:00:00;141;0;2.0514157741980648;non;15/03/2012 09:46;fr;non;0;NULL;0;;;
5199;BRAEMER F., BRAVARD J-P., BRIL B., GUIBERT P., SANDERS L., VILA-MEYER E., VIADER R., WILLCOX G., 2012;"""Archéologie et interdisciplinarité : qui ? pourquoi ? comment ? """;in : Archambault de Beaune S. (dir), <em>L'archéologie en mouvement : hommes, objets et temporalités</em>, CNRS Editions Alpha, 39-49.;128;;;;;15/03/2012 09:48;publie;3;10/04/2012 13:22;oui;0000-00-00 00:00:00;125;0;0.9275744004034459;non;10/04/2012 15:22;fr;non;0;NULL;0;;;
5200;NUNINGER L, BERTONCELLO, FAVORY F., FICHES J.-L., RAYNAUD C. ET COLL GIRARDOT J.-J., MATHIAN H., SANDERS L, 2012;"""Peuplement et territoire dans la longue durée : retour sur 20 ans d'expérience """;in : Archambault de Beaune S. (dir), <em>L'archéologie en mouvement : hommes, objets et temporalités</em>, CNRS Editions Alpha, 150-157.;128;;;;;15/03/2012 09:50;publie;3;15/03/2012 08:50;oui;0000-00-00 00:00:00;95;0;0.9151442245013655;non;15/03/2012 09:49;fr;non;0;NULL;0;;;
5201;GENEVOIE S., LEININGER-FREZAL C., 2012;"""Jeux pour le développement durable, ce qu'en dit la recherche""";in : Menéroux M.-C., Basley Th. (dir), <em>Eduquer au développement durable Pratiques codisciplinaires et projets au collège et au lycée</em>, CRDP D'Amiens, 210-218.;128;;;;;15/03/2012 09:53;publie;3;30/03/2012 14:26;oui;0000-00-00 00:00:00;97;0;0.912675571368722;non;30/03/2012 16:26;fr;non;0;NULL;0;;;
5202;PUMAIN D., 2012;"""Multi-agents System Modelling for Urban Systems : the Series of SIMPOP models""";in : Heppenstall A. J., Crooks A.T., See L.M., Batty M. (ed), <em>Agent-based Models of Geographical Systems</em>, London, Springer, Population Studies, 721-738.;128;;;;;15/03/2012 09:55;publie;3;15/03/2012 08:55;oui;0000-00-00 00:00:00;96;0;0.9130743725007087;non;15/03/2012 09:54;fr;non;0;NULL;0;;;
5203;PUMAIN D., 2012;"""Urban systems dynamics, urban growth and scaling laws: the question of ergodicity""";in : Portugali J.,  Meyer H., Stolk E. Tan E., (ed), <em>Complexity Theories of Cities Have Come of Age: An overview with implications to urban planning and design</em>, Heidelbereg, Berlin, Springer, 93-106.;128;;;;;15/03/2012 09:56;publie;3;15/03/2012 08:56;oui;0000-00-00 00:00:00;89;0;0.9503888911426871;non;15/03/2012 09:55;fr;non;0;NULL;0;;;
5204;BARLES S., CHATZIMPIROS P., KIM E, 2012;"""Urban metabolism: major flows, major issues for dematerialisation. Some results from French case studies""";<em>12e conférence biennale de l'International Society for Ecological Economics (isee), Ecological economics and Rio + 20 : Contributions for a green economy</em>, Rio de Janeiro, 16-19 juin.;128;;;;;15/03/2012 09:57;publie;3;15/03/2012 08:57;oui;0000-00-00 00:00:00;117;0;0.9151386631936759;non;15/03/2012 09:57;fr;non;0;NULL;0;;;
5205;VERDIER N., 2012;"""Rendre présent le futur. Les enjeux des représentations planimétriques au 18e siècle""";<em>Les projets come institutions, XVIIe-XXe siècle</em>, Ecole Normale Supérieure, Paris, 7 janvier.;128;;;;;15/03/2012 09:58;publie;3;15/03/2012 08:58;oui;0000-00-00 00:00:00;90;0;0.9122698037923594;non;15/03/2012 09:58;fr;non;0;NULL;0;;;
5206;BARLES S., 2012;"""La récupération des matières stercoraires animales et humaines pour la fertilisation des zones agricoles périphériques""";<em>Les fèces : entre ressource et nuisance</em>, Paris, 4 avril.;128;;;;;15/03/2012 09:59;publie;3;31/01/2017 15:00;oui;0000-00-00 00:00:00;239;0;0.9622845255302224;non;31/01/2017 15:00;fr;non;0;NULL;0;;;
5207;BARLES S., 2012;"""Material and energy flow analysis and the study of urban resources""";<em>49e Deutscher Historikertag Ressourcen-Konflikte</em>, Mayence, 25-28 septembre.;128;;;;;15/03/2012 10:00;publie;3;31/01/2017 15:00;oui;0000-00-00 00:00:00;89;0;0.9125430303336474;non;31/01/2017 15:00;fr;non;0;NULL;0;;;
5208;SCHMOLL C., SEMI G., 2012;"""Is national multiculturalism still the issue? Rescaling patterns of belonging in the Mediterranean""";<em>Living together in diversity. National societies in the multicultural age</em>, Centre European University, Budapest, Hongrie, 21-22 mai.;128;;;;;15/03/2012 10:02;publie;3;31/01/2017 15:01;oui;0000-00-00 00:00:00;79;0;0.9151338183160042;non;31/01/2017 15:01;fr;non;0;NULL;0;En ligne;http://livingindiversity.eu/;
5209;BARLES S., 2012;"""La Seine, fleuve parisien ? Empreintes, emprises et dépendances, XVIIIe-XXe siècles""";<em>11e Conférence internationale d'histoire urbaine Villes et sociétés - approches comparatives</em>, Prague, 29 août-1er septembre.;128;;;;;15/03/2012 10:03;publie;3;31/01/2017 15:01;oui;0000-00-00 00:00:00;141;0;0.9121210237744647;non;31/01/2017 15:01;fr;non;0;NULL;0;;;
5210;CLERVAL A., FLEURY A., 2012;"""Concilier efficacité économique et justice sociale, une aporie ? L'exemple des politiques publiques menées à Paris depuis 2001""";<em>La ville compétitive, à quel prix ?</em>, Université Paris Ouest Nanterre la Défense, 19-21 janvier.;128;;;;;15/03/2012 10:05;publie;3;15/03/2012 09:05;oui;0000-00-00 00:00:00;388;0;2.4976331838821095;non;15/03/2012 10:05;fr;non;0;NULL;0;;;
5211;PAULUS F., VACCHIANI-MARCUZZO C., 2012;"""Innovative activities and economic trajectories of cities (USA, France)""";<em>Association of American Geographers Annual Meeting</em>, New York, USA, 24/02/2012.;128;;;;;15/03/2012 10:07;publie;3;31/01/2017 15:02;oui;0000-00-00 00:00:00;76;0;0.9139170116682144;non;31/01/2017 15:02;fr;non;0;NULL;0;;;
5212;ZANIN C., BEN REBAH M., 2012;"""Les variables visuelles de la cartographie dynamique : analyse, critique et propositions""";<em>Dixièmes rencontres de Théoquant</em>, 10e rencontres de Théoquant., Besançon, 23-25 février 2011,  Besançon, Université de Franche-Comté et de Bourgogne;128;;;;;15/03/2012 10:08;publie;3;02/05/2012 08:36;oui;0000-00-00 00:00:00;689;0;0.8954196859290376;non;02/05/2012 10:36;fr;non;0;NULL;0;En ligne.;http://thema.univ-fcomte.fr/theoq/fr/publications.php?menus=publications;
5213;RIVIÈRE D., 2012;"""Politique de cohésion et  crise de la solidarité inter-régionale : l'Italie""";<em>La politique de cohésion et le défi de la solidarité inter-régionale</em>, Paris (Datar), 27 janvier.;128;;;;;15/03/2012 10:09;publie;3;31/01/2017 15:03;oui;0000-00-00 00:00:00;116;0;0.9204235876863177;non;31/01/2017 15:03;fr;non;0;NULL;0;En ligne;http://www.sciencespo.fr/coesionet/;
5214;BARLES S., 2012;"""Nitrogen and the city, France, 19th-21th century""";<em>Landscape infrastructure</em>, Cambridge (Etats-Unis), 23-24 mars 2012.;128;;;;;15/03/2012 10:10;publie;3;07/06/2012 11:08;oui;0000-00-00 00:00:00;89;0;0.9130730207538428;non;07/06/2012 13:08;fr;non;0;NULL;0;;;
5216;DOUAY N., PREVOT M. (dir), 2012;<em>Activismes urbains: engagement et militantisme</em>;L'information géographique, vol. 76, n?1, 102 p.;128;;;;;15/03/2012 10:19;publie;3;17/04/2012 07:46;oui;0000-00-00 00:00:00;145;0;0.9138849109252065;non;17/04/2012 09:46;fr;non;0;NULL;0;;;
5217;BESSE J.-M. (dir), 2012;<em>La montagne</em>;Les Carnets du paysage, n° 22, 260 pages.;128;;;;;15/03/2012 10:20;publie;3;15/03/2012 09:20;oui;0000-00-00 00:00:00;83;0;0.9321119811173466;non;15/03/2012 10:19;fr;non;0;NULL;0;;;
5218;RIVIÈRE D., 2012;<em>L'Europe</em>;"Paris, Armand Colin, 183-186 (éd 2009) ; 188-190 (édition 2010) ; 183-184 (édition 2011) ; 190-193 (édition 2012).";128;;;;;15/03/2012 10:21;publie;3;31/01/2017 14:53;oui;0000-00-00 00:00:00;74;0;0.9137650176403768;non;31/01/2017 14:53;fr;non;0;NULL;0;;;
5219;VACCHIANI-MARCUZZO C., 2012;"""La mondialisation: processus, acteurs et territoires""";in : Le quintrec G., Janin E. (dir), <em>Manuel de Géographie, Terminale S</em>, Paris, Nathan, 16-43.;128;;;;;15/03/2012 10:22;publie;3;15/03/2012 09:22;oui;0000-00-00 00:00:00;701;0;0.9151471909726624;non;15/03/2012 10:21;fr;non;0;NULL;0;;;
5220;RIVIÈRE D., 2012;"""L'Italie""";"in : <em>Images économiques du Monde</em>, Paris, Armand Colin, 2 à 4 pages/an : 231-235 (édition 2009); 235-237 (édition 2010); 216-218 (édition 2011); 223-226 (édition 2012).";128;;;;;15/03/2012 10:23;publie;3;31/01/2017 14:53;oui;0000-00-00 00:00:00;78;0;0.92628311320361;non;31/01/2017 14:53;fr;non;0;NULL;0;;;
